00682841-a,300686118-s
00682841-a,300686118-s
00688074-a,300691351-s
00688074-a,300691351-s
00688296-a,300691573-s
00689215-a,300692492-s
00691497-a,300694774-s
00700884-a,300704329-s
00702642-a,300706087-s
00710741-a,300714186-s
00710741-a,300714186-s
00735882-a,300739426-s
00735882-a,300739426-s
00735882-a,300739426-s
00748563-a,300752176-s
00750843-a,none
00752714-a,300756235-s
00755742-a,300759263-s
00762168-a,300765711-s
00765289-a,300768832-s
00776706-a,300780265-s
00793426-a,300796981-s
00793682-a,300797237-s
00805115-a,300808685-s
00811248-a,300814817-s
00811248-a,300814817-s
00811536-a,300815105-s
00811536-a,300815105-s
00813915-a,300817484-s
00813915-a,300817484-s
00815586-a,300819155-s
00816324-a,300819893-s
00819526-a,300823095-s
00848983-a,300852407-s
00850648-a,none
00850648-a,none
00850648-a,none
00855309-a,300858496-s
00864461-a,300867648-s
00864461-a,300867648-s
00874867-v,none
00888200-a,300891492-s
00888200-a,300891492-s
00888200-a,300891492-s
00901060-a,301862151-s
00901547-a,300904721-s
00901650-a,300904824-s
00902157-a,300905309-s
00910542-a,300913656-s
00929916-a,300933157-s
00931306-a,300934575-s
00931395-a,300934664-s
00933415-a,300936684-s
00933415-a,300936684-s
00934738-a,300938007-s
00935259-a,300938528-s
00936763-v,none
00942806-a,none
00943563-v,none
00943563-v,none
00949548-a,300952756-a
00949797-a,300953005-s
00949883-a,300953091-s
00949883-a,300953091-s
00950002-a,300953210-s
00950119-a,300953327-s
00950272-a,300953480-a
00950465-a,300953673-s
00950592-a,300953800-s
00952653-a,300955843-s
00952761-a,300955951-s
00953213-a,300956403-s
00960856-a,300964045-s
00965894-a,300969083-s
00966037-a,300969226-s
00966357-a,300969546-s
00966960-a,300970149-s
00966960-a,300970149-s
00966960-a,300970149-s
00970803-a,none
00995365-a,300998712-s
00996673-n,none
00996673-n,none
00996673-n,none
00998479-a,301001898-s
01000737-a,301004156-s
01003822-a,301007395-s
01003822-a,301007395-s
01004245-a,301007834-s
01012990-a,301016587-s
01012990-a,301016587-s
01013171-a,301016768-s
01013843-a,301017440-s
01027832-a,301031447-s
01031966-v,201009072-v
01033081-a,301036763-a
01033249-a,301036931-s
01033371-a,301037053-a
01033542-a,301037224-s
01033616-a,301037298-s
01043070-a,301046752-s
01047301-a,301051000-a
01047561-a,301051260-a
01047752-a,301051451-s
01048202-a,301051901-s
01056897-a,301060596-s
01056897-a,301060596-s
01061100-a,301064799-s
01062938-a,301066627-s
01066226-a,301069915-s
01067415-a,301071104-s
01070002-a,302412798-s
01085442-a,301089130-s
01089949-a,301093642-s
01091995-a,301095688-s
01096123-a,301099816-s
01099707-a,301103400-s
01101264-a,301104957-s
01104026-a,301107719-s
01104026-a,301107719-s
01104026-a,301107719-s
